,Number,submitted,updated,category,males,females,id,title,abstract
63,216,2019-03-15,2019-03-15,physics,1.0,1.0,1903.06502v1,Prescribing The Gauss Curvature Of Convex Bodies In Hyperbolic Space,"The Gauss curvature measure of a pointed Euclidean convex body is a measure on the unit sphere which extends the notion of Gauss curvature to non-smooth bodies. Alexandrov's problem consists in finding a convex body with given curvature measure. In Euclidean space, A.D. Alexandrov gave a necessary and sufficient condition on the measure for this problem to have a solution. In this paper, we address Alexandrov's problem for convex bodies in the hyperbolic space H m+1. After defining the Gauss curvature measure of an arbitrary hyperbolic convex body, we completely solve Alexandrov's problem in this setting. Contrary to the Euclidean case, we also prove the uniqueness of such a convex body. The methods for proving existence and uniqueness of the solution to this problem are both new."
72,247,2019-03-15,2019-03-15,physics,1.0,2.0,1903.06544v3,The Extragalactic Gamma-Ray Background from Core Dominated Radio   Galaxies,"Recent radio surveys have discovered a large number of low luminosity core dominated radio galaxies that are much more abundant than those at higher luminosities. These objects will be too faint in gamma-rays to be detected individually by Fermi. Nevertheless, they may contribute significantly to the unresolved extragalactic gamma-ray background. We consider here the possible contribution of these core dominated radio galaxies to the diffuse extragalactic gamma-ray background. Using published data available for all 45 of the radiogalaxies listed as detected counterparts in the Fermi FL8Y source list update to the 3FGL catalog, we have searched for radio maps which can resolve the core flux from the total source flux. Using high resolution radio maps we were able to obtain core fluxes for virtually every source. We then derived a relation between core radio flux and gamma-ray flux that we extrapolated to sources with low radio luminosities that are known to be highly core dominated. We then employed a very recent determination of the luminosity function for core dominated radio galaxies in order to obtain the contribution of all possible gamma-ray emitting radio galaxies to the unresolved extragalactic gamma-ray background. We find this contribution to be a possibly non-negligible, 4% - 18% of the background."
75,258,2019-03-15,2019-03-15,physics,2.0,1.0,1903.06561v1,Two-Dimensional Scanning Phased Array Based on Pattern Reconfigurable   Antenna,"This paper presents a novel planar phased array that can work in Ka band designed for two-dimensional scanning. A four-modes pattern reconfigurable element based on microstrip Yagi antenna is proposed, and then developed into the 4X4 phased array, in which two feed points are introduced to reduce sidelobe level (SLL). The simulated results show that our proposed phased array is able to cover the scanning range from -60{\deg} to +60{\deg}in H-plane(yoz-plane) and -47.2{\deg}to +47.2{\deg}in E-plane(xoz-plane) with the gain reduction less than 3dB, both the SLLs of which are 10dB less than main beam. The two-dimensional scanning phased array based on pattern reconfigurable antenna (PRA) presented here is suitable for the satellite communication."
78,262,2019-03-15,2019-03-15,physics,3.0,5.0,1903.06565v1,Role of Bloom Filter in Big Data Research: A Survey,"Big Data is the most popular emerging trends that becomes a blessing for human kinds and it is the necessity of day-to-day life. For example, Facebook. Every person involves with producing data either directly or indirectly. Thus, Big Data is a high volume of data with exponential growth rate that consists of a variety of data. Big Data touches all fields, including Government sector, IT industry, Business, Economy, Engineering, Bioinformatics, and other basic sciences. Thus, Big Data forms a data silo. Most of the data are duplicates and unstructured. To deal with such kind of data silo, Bloom Filter is a precious resource to filter out the duplicate data. Also, Bloom Filter is inevitable in a Big Data storage system to optimize the memory consumption. Undoubtedly, Bloom Filter uses a tiny amount of memory space to filter a very large data size and it stores information of a large set of data. However, functionality of the Bloom Filter is limited to membership filter, but it can be adapted in various applications. Besides, the Bloom Filter is deployed in diverse field, and also used in the interdisciplinary research area. Bioinformatics, for instance. In this article, we expose the usefulness of Bloom Filter in Big Data research."
80,287,2019-03-15,2019-03-15,physics,5.0,1.0,1903.06591v1,Probabilistic inequalities and measurements in bipartite systems,"Various inequalities (Boole inequality, Chung-Erd\""os inequality, Frechet inequality) for Kolmogorov (classical) probabilities are considered. Quantum counterparts of these inequalities are introduced, which have an extra `quantum correction' term, and which hold for all quantum states. When certain sufficient conditions are satisfied, the quantum correction term is zero, and the classical version of these inequalities holds for all states. But in general, the classical version of these inequalities is violated by some of the quantum states. For example in bipartite systems, classical Boole inequalities hold for all rank one (factorizable) states, and are violated by some rank two (entangled) states. A logical approach to CHSH inequalities (which are related to the Frechet inequalities), is studied in this context.It is shown that CHSH inequalities hold for all rank one (factorizable) states, and are violated by some rank two (entangled) states. The reduction of the rank of a pure state by a quantum measurement with both orthogonal and coherent projectors, is studied. Bounds for the average rank reduction are given."
99,344,2019-03-15,2019-03-15,physics,1.0,1.0,1903.07427v3,Crowd Counting with Decomposed Uncertainty,"Research in neural networks in the field of computer vision has achieved remarkable accuracy for point estimation. However, the uncertainty in the estimation is rarely addressed. Uncertainty quantification accompanied by point estimation can lead to a more informed decision, and even improve the prediction quality. In this work, we focus on uncertainty estimation in the domain of crowd counting. With increasing occurrences of heavily crowded events such as political rallies, protests, concerts, etc., automated crowd analysis is becoming an increasingly crucial task. The stakes can be very high in many of these real-world applications. We propose a scalable neural network framework with quantification of decomposed uncertainty using a bootstrap ensemble. We demonstrate that the proposed uncertainty quantification method provides additional insight to the crowd counting problem and is simple to implement. We also show that our proposed method exhibits the state of the art performances in many benchmark crowd counting datasets."
103,365,2019-03-15,2019-03-15,physics,1.0,1.0,1903.06686v1,Nonvanishing of self-dual $L$-values via spectral decomposition of   shifted convolution sums,"We obtain nonvanishing estimates for central values of self-dual Rankin-Selberg $L$-functions on $\operatorname{GL}_2$, and more generally central values of (automorphic) $N$-fold tensor products of $\operatorname{GL}_2$ forms, over a totally real number field. This is achieved by developing a spectral approach to the shifted convolution problem for coefficients of $\operatorname{GL}_2$-automorphic forms over totally real fields, and the bounds we obtain depend on the best known approximations to the generalized Ramanujan conjecture and the generalized Lindel\""of hypothesis. In the course of deriving such results, we supply the required nonvanishing hypothesis for recent work of Darmon-Rotger to bound Mordell-Weil ranks of elliptic curves in number fields cut out by tensor products of two odd, two-dimensional Artin representations whose product of determinants is trivial. This in particular allows us to deduce bounds (on average) for Mordell-Weil ranks of elliptic curves in ring class extensions of real quadratic fields which had not been accessible previously."
111,383,2019-03-15,2019-03-15,physics,6.0,2.0,1903.06711v2,"The detached, evolved post-mass-exchange binary V643 Orionis","Context: One of the greatest uncertainties in modelling the mass-exchange phases during the evolution of a binary system is the amount of mass and angular momentum that has been lost from the system. To constrain this problem, a favourable, evolved and detached real binary system is valuable as an example of the end result of this process. Aims: We study the 52-day post-mass-exchange eclipsing binary V643 Ori from complete uvby light curves and high-resolution spectra. V643 Ori is a double-lined, circular orbit, synchronized binary showing total primary eclipses. Results: We determine accurate masses of 3.3 and 1.9 M(Sun) and radii of 16 and 21 R(Sun). The masses and radii are incompatible with undisturbed post-main-sequence evolution. Conclusions: We have attempted to simulate the past evolutionary history of V643 Ori under both conservative and non-conservative Case B mass transfer scenarios. In the non-conservative case we varied the amounts of mass and angular momentum loss needed to arrive at the present masses in a circular 52-day orbit, keeping the two stars detached and synchronized as now observed, but without following the evolution of other stellar properties in any detail. Multiple possible solutions were found. Further attempts were made using both the BSE formalism and the binary MESA code in order to track stellar evolution more closely, and make use of the measured radii and temperatures as important additional constraints. Those efforts did not yield satisfactory solutions, possibly due to limitations in handling mass transfer in evolved stars such as these. We remain hopeful that future theoreticians can more fully model the system under realistic conditions."
117,406,2019-03-15,2019-03-15,physics,2.0,2.0,1903.06734v1,Conformal Killing forms on nearly KÃ¤hler manifolds,"We study conformal Killing forms on compact 6-dimensional nearly K\""ahler manifolds. Our main result concerns forms of degree 3. Here we give a classification showing that all conformal Killing 3-forms are linear combinations of $d \omega$ and its Hodge dual $* d\omega$ where $\omega$ is the fundamental 2-form of the nearly K\""ahler structure. The proof is based on a fundamental integrability condition for conformal Killing forms. We have partial results in the case of conformal Killing 2-forms. In particular we show the non-existence of J-anti-invariant Killing 2-forms."
119,414,2019-03-15,2019-03-15,physics,2.0,2.0,1903.06742v3,On the properties of the massive binary black hole merger GW170729,"We present a detailed investigation into the properties of GW170729, the gravitational wave with the most massive and distant source confirmed to date. We employ an extensive set of waveform models, including new improved models that incorporate the effect of higher-order waveform modes which are particularly important for massive systems. We find no indication of spin-precession, but the inclusion of higher-order modes in the models results in an improved estimate for the mass ratio of $(0.3-0.8)$ at the 90\% credible level. Our updated measurement excludes equal masses at that level. We also find that models with higher-order modes lead to the data being more consistent with a smaller effective spin, with the probability that the effective spin is greater than zero being reduced from $99\%$ to $94\%$. The 90\% credible interval for the effective spin parameter is now $(-0.01-0.50)$. Additionally, the recovered signal-to-noise ratio increases by $\sim0.3$ units compared to analyses without higher-order modes. We study the effect of common spin priors on the derived spin and mass measurements, and observe small shifts in the spins, while the masses remain unaffected. We argue that our conclusions are robust against systematic errors in the waveform models. We also compare the above waveform-based analysis which employs compact-binary waveform models to a more flexible wavelet- and chirplet-based analysis. We find consistency between the two, with overlaps of $\sim 0.9$, typical of what is expected from simulations of signals similar to GW170729, confirming that the data are well-described by the existing waveform models. Finally, we study the possibility that the primary component of GW170729 was the remnant of a past merger of two black holes and find this scenario to be indistinguishable from the standard formation scenario."
128,448,2019-03-15,2019-03-15,physics,4.0,1.0,1903.06782v3,Bulk-boundary correspondence for disordered free-fermion topological   phases,"Guided by the many-particle quantum theory of interacting systems, we develop a uniform classification scheme for topological phases of disordered gapped free fermions, encompassing all symmetry classes of the Tenfold Way. We apply this scheme to give a mathematically rigorous proof of bulk-boundary correspondence. To that end, we construct real C$^\ast$-algebras harbouring the bulk and boundary data of disordered free-fermion ground states. These we connect by a natural bulk-to-boundary short exact sequence, realising the bulk system as a quotient of the half-space theory modulo boundary contributions. To every ground state, we attach two classes in different pictures of real operator $K$-theory (or $KR$-theory): a bulk class, using Van Daele's picture, along with a boundary class, using Kasparov's Fredholm picture. We then show that the connecting map for the bulk-to-boundary sequence maps these $KR$-theory classes to each other. This implies bulk-boundary correspondence, in the presence of disorder, for both the ""strong"" and the ""weak"" invariants."
129,461,2019-03-15,2019-03-15,physics,6.0,1.0,1903.06794v1,Self-luminous and irradiated exoplanetary atmospheres explored with   HELIOS,"We present new methodological features and physical ingredients included in the 1D radiative transfer code HELIOS, improving the hemispheric two-stream formalism. We conduct a thorough intercomparison survey with several established forward models, including COOLTLUSTY, PHOENIX, and find satisfactory consistency with their results. Then, we explore the impact of (i) different groups of opacity sources, (ii) a stellar path length adjustment, and (iii) a scattering correction on self-consistently calculated atmospheric temperatures and planetary emission spectra. First, we observe that temperature-pressure (T-P) profiles are very sensitive to the opacities included, with metal oxides, hydrides, the alkali atoms (and ionized hydrogen) playing an important role for the absorption of shortwave radiation (in very hot surroundings). Moreover, if these species are sufficiently abundant, they are likely to induce non-monotonic T-P profiles. Second, without the stellar path length adjustment, the incoming stellar flux is significantly underestimated for zenith angles above 80{\deg}, which somewhat affects the upper atmospheric temperatures and the planetary emission. Third, the scattering correction improves the accuracy of the computation of the reflected stellar light by ~10%. We use HELIOS to calculate a grid of cloud-free atmospheres in radiative-convective equilibrium for self-luminous planets for a range of effective temperatures, surface gravities, metallicities, and C/O ratios, to be used by planetary evolution studies. Furthermore, we calculate dayside temperatures and secondary eclipse spectra for a sample of exoplanets for varying chemistry and heat redistribution. These results may be used to make predictions on the feasibility of atmospheric characterizations with future observations."
139,489,2019-03-15,2019-03-15,physics,2.0,1.0,1903.06823v1,A Probable Prime Test With High Confidence,"Monier and Rabin proved that an odd composite can pass the Strong Probable Prime Test for at most $\frac 14$ of the possible bases. In this paper, a probable prime test is developed using quadratic polynomials and the Frobenius automorphism. The test, along with a fixed number of trial divisions, ensures that a composite $n$ will pass for less than $\frac 1{7710}$ of the polynomials $x^2-bx-c$ with $\left(b^2+4c\over n\right)=-1$ and $\left(-c\over n\right)=1$. The running time of the test is asymptotically $3$ times that of the Strong Probable Prime Test."
143,503,2019-03-15,2019-03-15,physics,1.0,1.0,1903.06837v1,Visual recognition in the wild by sampling deep similarity functions,"Recognising relevant objects or object states in its environment is a basic capability for an autonomous robot. The dominant approach to object recognition in images and range images is classification by supervised machine learning, nowadays mostly with deep convolutional neural networks (CNNs). This works well for target classes whose variability can be completely covered with training examples. However, a robot moving in the wild, i.e., in an environment that is not known at the time the recognition system is trained, will often face \emph{domain shift}: the training data cannot be assumed to exhaustively cover all the within-class variability that will be encountered in the test data. In that situation, learning is in principle possible, since the training set does capture the defining properties, respectively dissimilarities, of the target classes. But directly training a CNN to predict class probabilities is prone to overfitting to irrelevant correlations between the class labels and the specific subset of the target class that is represented in the training set. We explore the idea to instead learn a Siamese CNN that acts as similarity function between pairs of training examples. Class predictions are then obtained by measuring the similarities between a new test instance and the training samples. We show that the CNN embedding correctly recovers the relative similarities to arbitrary class exemplars in the training set. And that therefore few, randomly picked training exemplars are sufficient to achieve good predictions, making the procedure efficient."
145,521,2019-03-16,2019-03-16,physics,5.0,1.0,1903.06855v1,Learning Super-resolution 3D Segmentation of Plant Root MRI Images from   Few Examples,"Analyzing plant roots is crucial to understand plant performance in different soil environments. While magnetic resonance imaging (MRI) can be used to obtain 3D images of plant roots, extracting the root structural model is challenging due to highly noisy soil environments and low-resolution of MRI images. To improve both contrast and resolution, we adapt the state-of-the-art method RefineNet for 3D segmentation of the plant root MRI images in super-resolution. The networks are trained from few manual segmentations that are augmented by geometric transformations, realistic noise, and other variabilities. The resulting segmentations contain most root structures, including branches not extracted by the human annotator."
147,528,2019-03-16,2019-03-16,physics,2.0,2.0,1903.06862v1,A KAM Theorem for Higher Dimensional Reversible Nonlinear   SchrÃ¶dinger Equations,"In the paper, we prove an abstract KAM (Kolmogorov-Arnold-Moser) theorem for infinite dimensional reversible systems. Using this KAM theorem, we obtain the existence and linear stability of quasi-periodic solutions for a class of reversible (non-Hamiltonian) coupled nonlinear Schr\""{o}dinger systems on $d-$torus $\mathbb{T}^d$."
148,531,2019-03-16,2019-03-16,physics,3.0,1.0,1903.06865v1,Reproducibility in $G_0W_0$ Calculations for Solids,"Ab initio many-body perturbation theory within the $GW$ approximation is a Green's function formalism widely used in the calculation of quasiparticle excitation energies of solids. In what has become an increasingly standard approach, Kohn-Sham eigenenergies, generated from a DFT calculation with a strategically-chosen exchange correlation functional ``starting point'', are used to construct $G$ and $W$, and then perturbatively corrected by the resultant $GW$ self-energy. In practice, there are several ways to construct the $GW$ self-energy, and these can lead to variations in predicted quasiparticle energies. For example, for ZnO and TiO$_2$, reported $GW$ fundamental gaps can vary by more than 1 eV. In this work, we address the convergence and key approximations in contemporary $G_0W_0$ calculations, including frequency-integration schemes and the treatment of the Coulomb divergence in the exact-exchange term. We study several systems,and compare three different $GW$ codes: BerkeleyGW, Abinit and Yambo. We demonstrate, for the first time, that the same quasiparticle energies for systems in the condensed phase can be obtained with different codes, and we provide a comprehensive assessment of implementations of the $GW$ approximation."
149,532,2019-03-16,2019-03-16,physics,5.0,1.0,1903.06866v1,Fermionic Phonons: Exact Analytic Results and Quantum Statistical   Mechanics for a One Dimensional Harmonic Crystal,"Analytic expressions for the energy eigenvalues and eigenfunctions of a one-dimensional harmonic crystal are obtained. It is shown that the phonon statistics differ between bosons and fermions. The average energy and density profiles are obtained numerically as a function of temperature. A surprisingly large number of energy levels (eg.\ 5,000 for 4 particles) are required for reliable results at even moderate temperatures. Differences between fully symmetric and anti-symmetric spinless wave functions are quantified in the high density and low coupling regimes. The localized nature of wave function symmetrization is demonstrated. Appended are generic discussions of non-symmetric Hamiltonian operator and fermionic phonons, the symmetrization for multi-particle states, and the symmetrization factorization of spin and position wave functions."
150,534,2019-03-16,2019-03-16,physics,4.0,1.0,1903.06868v2,An extension of Rohrlich's Theorem to the $j$-function,"In this paper, we extend Rohrlich's Theorem on the integral of logarithms of meromorphic functions to compute the inner product between such functions and polynomials in the $j$-function. We then show that the generating function for these inner products with $j_n$ is part of a weight two modular object."
154,553,2019-03-16,2019-03-16,physics,1.0,2.0,1903.06886v3,Minimizing Age of Information in Cognitive Radio-based IoT Systems:   Underlay or Overlay?,"We consider a cognitive radio-based Internet-of-Things (CR-IoT) network consisting of one primary IoT (PIoT) system and one secondary IoT (SIoT) system. The IoT devices of both the PIoT and the SIoT respectively monitor one physical process and send randomly generated status updates to their associated access points (APs). The timeliness of the status updates is important as the systems are interested in the latest condition (e.g., temperature, speed and position) of the IoT device. In this context, two natural questions arise: (1) How to characterize the timeliness of the status updates in CR-IoT systems? (2) Which scheme, overlay or underlay, is better in terms of the timeliness of the status updates. To answer these two questions, we adopt a new performance metric, named the age of information (AoI). We analyze the average peak AoI of the PIoT and the SIoT for overlay and underlay schemes, respectively. Simple asymptotic expressions of the average peak AoI are also derived when the PIoT operates at high signal-to-noise ratio (SNR). Based on the asymptotic expressions, we characterize a critical generation rate of the PIoT system, which can determine the superiority of overlay and underlay schemes in terms of the average peak AoI of the SIoT. Numerical results validate the theoretical analysis and uncover that the overlay and underlay schemes can outperform each other in terms of the average peak AoI of the SIoT for different system setups."
155,556,2019-03-16,2019-03-16,physics,1.0,1.0,1903.06888v2,Rethinking Uplink Hybrid Processing: When is Pure Analog Processing   Suggested?,"In this correspondence, we analytically characterize the benefit of digital processing in uplink massive multiple-input multiple-output (MIMO) with sub-connected hybrid architecture. By assuming that the number of radio frequency (RF) chains is equal to that of users, we characterize achievable rates of both pure analog detection and hybrid detection under the i.i.d. Rayleigh fading channel model. From the derived expressions, we discover that the analog processing can outperform the hybrid processing using the maximal ratio combining (MRC) or zero-forcing (ZF) criterion in cases under some engineering assumptions. Performance comparison of the schemes are presented under tests with various numbers of users and numbers of antennas at the base station."
157,569,2019-03-16,2019-03-16,physics,6.0,1.0,1903.06900v1,Multi-topological semantics for intuitionistic modal logic,"We present three examples of \textit{multi-topological} semantics for intuitionistic modal logic with one modal operator $\Box$ (which behaves in some sense like necessity). We show that it is possible to treat neighborhood models, introduced earlier, as multi-topological. From the neighborhood point of view, our method is based on differences between properties of minimal and maximal neighborhoods. Also we propose transformation of multi-topological spaces into the neighborhood structures. Although our neighborhoods can be considered as bi-relational models, we believe that reasoning in terms of neighborhoods gives better topological intuitions."
169,629,2019-03-16,2019-03-16,physics,2.0,1.0,1903.06954v2,Genuine time-bin-encoded quantum key distribution over a turbulent   depolarizing free-space channel,"Despite its widespread use in fiber optics, encoding quantum information in photonic time-bin states is usually considered impractical for free-space quantum communication as turbulence-induced spatial distortion impedes the analysis of time-bin states at the receiver. Here, we demonstrate quantum key distribution using time-bin photonic states distorted by turbulence and depolarization during free-space transmission. Utilizing a novel analyzer apparatus, we observe stable quantum bit error ratios of 5.32 %, suitable for generating secure keys, despite significant wavefront distortions and polarization fluctuations across a 1.2 km channel. This shows the viability of time-bin quantum communication over long-distance free-space channels, which will simplify direct fiber/free-space interfaces and enable new approaches for practical free-space quantum communication over multi-mode, turbulent, or depolarizing channels."
